问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,64,12,T:System.Windows.Forms.PropertyGrid,,,,,"this.propertyGrid1.Size = new System.Drawing.Size(443, 393);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,64,12,P:System.Windows.Forms.Control.Size,,,,,"this.propertyGrid1.Size = new System.Drawing.Size(443, 393);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,63,12,T:System.Windows.Forms.PropertyGrid,,,,,"this.propertyGrid1.Name = ""propertyGrid1"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,63,12,P:System.Windows.Forms.Control.Name,,,,,"this.propertyGrid1.Name = ""propertyGrid1"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,62,12,T:System.Windows.Forms.PropertyGrid,,,,,"this.propertyGrid1.Location = new System.Drawing.Point(3, 3);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,62,12,P:System.Windows.Forms.Control.Location,,,,,"this.propertyGrid1.Location = new System.Drawing.Point(3, 3);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,61,12,T:System.Windows.Forms.DockStyle,,,,,this.propertyGrid1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,61,12,T:System.Windows.Forms.DockStyle,,,,,this.propertyGrid1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,61,12,F:System.Windows.Forms.DockStyle.Fill,,,,,this.propertyGrid1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,61,12,T:System.Windows.Forms.PropertyGrid,,,,,this.propertyGrid1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,61,12,T:System.Windows.Forms.DockStyle,,,,,this.propertyGrid1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,61,12,P:System.Windows.Forms.Control.Dock,,,,,this.propertyGrid1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,57,12,T:System.Windows.Forms.TabPage,,,,,this.tabPage1.UseVisualStyleBackColor = true;
